,Name,                HIP,Comment,                    RAh,RAm,RAs,DECsign,DECd,DEC’,DEC”,RA_degrees,DEC_degrees,V_mag,band,spectral_type,Planet,Teff,e_Teff,logg,e_logg,[Fe/H],e_feh,works,mass,e_mass
70,HD 000693           ,910,6 Cet                        ,0,11,15.8508,-,15,28,4.74,2.816045,-15.4679832,4.89, ,F8VFe-0.8CH-0., ,6223,62.23,4.1,0.07,-0.35,0.05,11,1.122,0.0445
71,HD 000700           ,920,                             ,0,11,24.4289,+,23,49,5.608,2.8517871,23.8182259,8.24, ,G0            , ,6174,123.48,4.45,0.15,-0.19,0.15,1,1.072,0.0695
72,HD 000720           ,930,Star in double system        ,0,11,34.4201,-,27,47,59.052,2.8934171,-27.799736,5.417, ,K5III         , ,4160,100,2.02,0.15,0.01,0.15,1,1.079,0.178
73,HD 000725           ,951,                             ,0,11,44.7427,+,57,16,17.472,2.9364278,57.2715187,7.085, ,F5Ib-II       , ,6823,171,1.28,0.49,-0.13,0.13,6,2.817,0.2385
74,HD 000732           ,937,                             ,0,11,36.4197,-,23,37,56.497,2.9017487,-23.6323605,7.86, ,F7V           , ,6346,126.92,3.9,0.15,0.38,0.15,1,1.636,0.168
75,HD 000739           ,950,HR 35                        ,0,11,44.0086,-,35,7,59.23,2.9333692,-35.1331177,5.249, ,F4V           , ,6521,65.21,4.26,0.06,-0.07,0.05,7,1.272,0.0355
76,HD 000741           ,929,                             ,0,11,33.0833,-,58,54,35.428,2.8878469,-58.9098434,8.36, ,G3V           , ,5876,117.52,4.35,0.15,-0.12,0.15,1,0.994,0.065
77,HD 000745           ,954,                             ,0,11,47.5305,+,9,8,23.865,2.9480438,9.1399622,7.45, ,G5III         , ,5051,101.02,3.31,0.15,0.07,0.15,1,1.411,0.3615
78,HD 000749           ,944,                             ,0,11,38.0869,-,49,39,21.697,2.9086955,-49.6560287,7.88, ,K0p           , ,4595,100,2.55,0.15,0.05,0.15,1,1.136,0.2675
79,HD 000750           ,934,                             ,0,11,35.7941,-,57,28,21.18,2.899142,-57.4725494,9.08, ,K1V           , ,5096,61.152,4.41,0.1,-0.28,0.07,4,0.761,0.025
80,HD 000770           ,966,                             ,0,11,56.0567,-,42,10,19.719,2.9835696,-42.1721458,6.529, ,K0III C       , ,4696,100,2.68,0.15,-0.12,0.15,1,1.084,0.219
81,HD 000787           ,983,Li-rich 1.99                 ,0,12,9.986,-,17,56,17.8,3.0416086,-17.9382763,5.286, ,K4III         , ,3942,50,1.22,0.27,0.05,0.06,8,1.11,0.221
82,HD 000804           ,996,                             ,0,12,28.3327,+,20,14,3.644,3.118053,20.2343464,8.181, ,G5            , ,5838,99.246,4.35,0.11,-0.03,0.11,2,1.012,0.0525
83,HD 000823           ,1003,                             ,0,12,32.8122,-,30,51,35.414,3.1367176,-30.8598385,8.67, ,G9V           , ,5551,111.02,4.48,0.15,0.04,0.15,1,0.932,0.0535
84,HD 000829           ,1030,                             ,0,12,50.2457,+,37,41,37.163,3.2093573,37.6936569,6.701, ,B3III         , ,18400,368,3.82,0.15,-0.08,0.15,1,-1,-1
85,HD 000835           ,0,                             ,0,12,39.8389,-,29,20,30.846,3.1659956,-29.3419018,9.55, ,K1III         , ,4560,100,2.3,0.15,-0.16,0.15,1,1.147,0.317
86,HD 000842           ,1039,                             ,0,13,0.3489,+,55,51,32.42,3.2514539,55.859005,7.96, ,A9Iab...      , ,7000,140,1,0.15,-0.25,0.15,1,-1,-1
87,HD 000852           ,1038,                             ,0,13,0.0724,+,12,19,51.433,3.2503018,12.3309536,8.2, ,F0            , ,6768,135.36,4.02,0.15,0.01,0.15,1,1.473,0.1425
88,HD 000868           ,0,                             ,0,12,58.8923,-,30,3,28.311,3.2453847,-30.0578632,8.41, ,K1IIICNv...   , ,4300,100,1.3,0.15,-0.74,0.15,1,0.995,0.204
89,HD 000870           ,1031,                             ,0,12,50.2492,-,57,54,45.395,3.2093718,-57.9126129,7.226, ,K0V           , ,5380,53.8,4.45,0.08,-0.09,0.05,6,0.86,0.0255
90,HD 000886           ,1067,                             ,0,13,14.1512,+,15,11,0.936,3.3089635,15.1835938,2.84, ,B2IV          , ,22000,440,3.95,0.15,0,0.15,1,-1,-1
91,HD 000903           ,1058,                             ,0,13,10.0386,-,43,3,54.618,3.2918274,-43.0651703,7.558, ,F5IV          , ,6627,132.54,4.29,0.15,-0.03,0.15,1,1.314,0.0815
92,HD 000912           ,1105,                             ,0,13,46.5321,+,64,51,53.518,3.4438837,64.8648682,8.09, ,G0            , ,6038,84.532,3.87,0.09,-0.25,0.09,3,1.242,0.0945
93,HD 000924           ,1085,                             ,0,13,30.9219,-,40,21,29.748,3.3788414,-40.3582611,9.06, ,K2+Vk:        , ,5055,101.1,4.63,0.15,-0.09,0.15,1,0.782,0.0405
94,HD 000931           ,1103,                             ,0,13,45.7047,+,8,11,36.614,3.4404361,8.1935043,7.4, ,F2            , ,6694,133.88,4.26,0.15,0,0.15,1,1.348,0.0845
95,HD 000967           ,1128,                             ,0,14,4.4794,-,11,18,41.714,3.5186641,-11.3115873,8.37, ,G5            , ,5599,55.99,4.45,0.09,-0.63,0.05,8,0.781,0.025
96,HD 000975           ,1137,                             ,0,14,13.0841,+,35,25,5.103,3.554517,35.418087,8.09, ,F5V           , ,6425,128.5,4.28,0.15,-0.15,0.15,1,1.204,0.081
97,HD 000984           ,1134,                             ,0,14,10.253,-,7,11,56.814,3.5427208,-7.1991153,7.32, ,F7V           , ,6378,112,4.57,0.26,0.18,0.11,2,1.295,0.0755
98,HD 000987           ,1113,Pre-main sequence Star       ,0,13,53.0105,-,74,41,17.851,3.4708769,-74.6882935,8.724, ,G8V           , ,5502,93.534,4.53,0.11,0,0.11,2,0.911,0.042
99,HD 001000           ,1147,                             ,0,14,20.8002,-,21,11,49.063,3.5866675,-21.1969604,6.91, ,F7V           , ,6321,126.42,4.07,0.15,-0.04,0.15,1,1.267,0.122
100,HD 001004           ,1140,                             ,0,14,14.7075,-,55,4,10.782,3.5612814,-55.0696602,6.67, ,F5IV/V        , ,6528,130.56,4.21,0.15,-0.08,0.15,1,1.278,0.089
101,HD 001013           ,1168,chi Peg                      ,0,14,36.1645,+,20,12,24.126,3.6506853,20.2067032,4.818, ,M2III         , ,3800,100,1.2,0.15,-0.35,0.15,1,1.03,0.156
102,HD 001015           ,1161,                             ,0,14,28.0227,-,14,25,54.426,3.6167612,-14.4317856,6.966, ,F5V           , ,6444,128.88,3.92,0.15,0.15,0.15,1,1.566,0.172
103,HD 001019           ,1151,                             ,0,14,22.2551,-,28,56,4.793,3.5927296,-28.9346638,9.41, ,K0/K1VCN...   , ,5344,106.88,4.09,0.15,0.08,0.15,1,0.974,0.0795
104,HD 001073           ,1211,                             ,0,15,9.1929,+,34,52,5.434,3.7883039,34.8681755,7.986, ,F2            , ,6882,137.64,4.21,0.15,-0.07,0.15,1,1.406,0.0885
105,HD 001094           ,1234,                             ,0,15,21.5494,+,28,35,13.809,3.8397892,28.5871696,7.347, ,F5            , ,6513,130.26,3.9,0.15,0.05,0.15,1,1.566,0.171
106,HD 001100           ,1230,                             ,0,15,16.2676,-,6,8,17.573,3.8177817,-6.1382146,7.76, ,K0III         , ,4832,85,2.95,0.11,-0.03,0.11,2,1.179,0.277
107,HD 001101           ,1231,                             ,0,15,16.3978,-,16,45,22.491,3.8183243,-16.7562466,7.68, ,F3IV          , ,6742,134.84,3.85,0.15,0.1,0.15,1,1.734,0.1875
108,HD 001108           ,1206,                             ,0,15,4.6337,-,68,31,48.36,3.7693069,-68.5301056,8.59, ,G6V           , ,5605,112.1,4.54,0.15,-0.08,0.15,1,0.92,0.052
109,HD 001171           ,1275,                             ,0,16,0.1515,-,22,25,17.744,4.0006313,-22.4215946,9.766, ,G8V           , ,5293,105.86,4.47,0.15,-0.53,0.15,1,0.752,0.0425
110,HD 001178           ,1297,                             ,0,16,14.6322,+,35,10,41.937,4.0609679,35.178318,8.92, ,G             , ,5649,96.033,4.36,0.11,0,0.11,2,0.952,0.0475
111,HD 001184           ,1258,                             ,0,15,47.0172,-,66,55,26.613,3.945905,-66.924057,8.56, ,F7V           , ,6136,122.72,4.23,0.15,-0.23,0.15,1,1.077,0.084
112,HD 001204           ,1304,                             ,0,16,22.2442,-,19,23,58.594,4.0926843,-19.3996086,8.82, ,G3V           , ,6049,120.98,4.34,0.15,0,0.15,1,1.095,0.075
113,HD 001205           ,1306,                             ,0,16,23.4641,-,22,35,16.723,4.0977674,-22.5879784,7.9, ,G3V           , ,5811,116.22,4.14,0.15,0.28,0.15,1,1.147,0.1065
114,HD 001213           ,1320,                             ,0,16,34.7483,+,15,50,13.919,4.1447849,15.8371992,8.33, ,A5            , ,6784,135.68,4.19,0.15,-0.28,0.15,1,1.304,0.0935
115,HD 001227           ,1319,Double or multiple star      ,0,16,34.0407,+,8,14,24.555,4.1418362,8.2401543,6.127, ,G8II-III      , ,5052,50.52,2.74,0.14,0.15,0.1,6,2.879,0.2115
116,HD 001237           ,1292,Pre-main sequence Star       ,0,16,12.6775,-,79,51,4.254,4.0528231,-79.851181,6.59, ,G6V           ,P,5532,55.32,4.51,0.13,0.12,0.05,13,0.959,0.0305
117,HD 001239           ,1354,Star in double system        ,0,16,57.0435,+,61,31,59.468,4.2376814,61.5331841,5.745, ,G8III         , ,5132,87.244,2.31,0.11,-0.25,0.11,2,3.151,0.216
118,HD 001271           ,1341,                             ,0,16,47.2569,-,46,34,26.913,4.1969037,-46.5741425,8.02, ,F5V           , ,6570,131.4,3.9,0.15,0.03,0.15,1,1.572,0.1725
119,HD 001273           ,1349,Spectroscopic binary         ,0,16,53.8942,-,52,39,4.135,4.2245593,-52.6511497,6.842, ,G5V           , ,5726,97.342,4.45,0.11,-0.51,0.11,2,0.842,0.0435
120,HD 001293           ,1365,                             ,0,17,5.5501,-,1,39,10.841,4.2731256,-1.6530113,8.37, ,G6V           , ,5114,102.28,3.19,0.15,-0.38,0.15,1,1.164,0.2815
121,HD 001320           ,1382,                             ,0,17,16.5271,-,43,51,9.839,4.3188629,-43.8527298,7.98, ,G2V           , ,5699,68.388,4.5,0.07,-0.26,0.07,4,0.911,0.034
122,HD 001321           ,1376,                             ,0,16,47.2569,-,46,34,26.913,4.1969037,-46.5741425,8.02, ,F5V           , ,6510,130.2,3.41,0.15,0.08,0.15,1,2.012,0.2335
123,HD 001326 A         ,1475,V* GX And Gl 15 A            ,0,18,22.8849,+,44,1,22.637,4.5953541,44.022953,8.13, ,M1.5V         , ,3638,125,5.04,0.2,-0.2,0.1,4,0.492,0.0235
124,HD 001326 B         ,0,V* GQ And Gl 15 B            ,0,18,25.8244,+,44,1,38.091,4.6076021,44.0272484,11.04, ,M3.5V         , ,3381,186,5.06,0.16,-0.19,0.1,5,0.459,0.029
125,HD 001327           ,1411,                             ,0,17,40.3423,+,37,32,15.511,4.4180927,37.5376396,9.061, ,G5            , ,5788,115.76,4.45,0.15,-0.03,0.15,1,0.983,0.06
126,HD 001343           ,1402,                             ,0,17,32.7031,-,19,3,3.93,4.3862629,-19.0510902,6.467, ,F3V           , ,6733,134.66,4.14,0.15,-0.28,0.15,1,1.3,0.1035
127,HD 001352           ,1427,                             ,0,17,49.9819,+,16,19,51.649,4.4582577,16.3310146,7.22, ,F6V           , ,6432,128.64,4.37,0.15,-0.14,0.15,1,1.199,0.075
128,HD 001367           ,1421,                             ,0,17,47.6979,+,1,41,19.418,4.4487414,1.6887273,6.19, ,K0II          , ,4982,100,3.01,0.15,-0.01,0.15,1,1.479,0.51
129,HD 001378           ,0,                             ,0,17,46.1434,-,36,53,39.131,4.4422641,-36.8942032,9.03, ,K3III         , ,4150,100,1,0.15,-0.1,0.15,1,1.142,0.313
130,HD 001388           ,1444,                             ,0,17,58.869,-,13,27,20.308,4.4952874,-13.4556408,6.5, ,G0V           , ,5940,59.4,4.38,0.05,-0.01,0.05,6,1.059,0.031
131,HD 001391           ,1404,                             ,0,17,49.9819,+,16,19,51.649,4.4582577,16.3310146,7.22, ,F6V           , ,5953,119.06,4.01,0.15,0.07,0.15,1,1.172,0.13
132,HD 001400           ,1486,                             ,0,18,28.7815,+,62,12,9.988,4.6199231,62.202774,6.981, ,K7...         , ,4107,100,0.73,0.15,-0.31,0.15,1,1.095,0.278
133,HD 001404           ,1473,sig And                      ,0,18,19.6574,+,36,47,6.81,4.5819058,36.7852249,4.52, ,A2V           , ,8828,176.56,4,0.15,-0.29,0.15,1,2.05,0.2215
134,HD 001406           ,1477,                             ,0,18,20.7633,+,30,23,45.384,4.586514,30.3959408,7.087, ,K3III         , ,4349,100,2.61,0.15,-0.13,0.15,1,1.02,0.1035
135,HD 001419           ,1465,                             ,0,18,17.2458,+,11,12,22.37,4.5718575,11.206214,6.065, ,K0III         , ,4888,100,2.77,0.15,0.1,0.15,1,2.012,0.6485
136,HD 001439           ,1493,                             ,0,18,38.2572,+,31,31,2.184,4.6594052,31.5172729,5.875, ,A0IV          , ,9640,192.8,3.75,0.15,0.07,0.15,1,2.898,0.1575
137,HD 001449           ,1495,                             ,0,18,39.6346,+,22,52,47.025,4.6651444,22.8797302,7.16, ,G8IV          , ,4966,100,3.07,0.15,-0.22,0.15,1,1.102,0.251
138,HD 001455           ,1425,                             ,0,17,49.2312,-,79,13,56.603,4.4551301,-79.2323914,7.94, ,F8V           , ,6245,124.9,3.7,0.15,0.37,0.15,1,1.707,0.1565
139,HD 001457           ,1526,                             ,0,19,0.5098,+,60,20,7.052,4.7521243,60.3352928,7.85, ,F0Iab...      , ,7184,329,1.02,0.42,-0.12,0.17,4,-1,-1
140,HD 001461           ,1499,HR 72                        ,0,18,41.8673,-,8,3,10.805,4.6744475,-8.0530014,6.46, ,G3VFe0.5      ,P,5740,57.4,4.36,0.06,0.19,0.05,16,1.058,0.034
141,HD 001466           ,1481,                             ,0,18,26.1235,-,63,28,38.981,4.6088481,-63.4774971,7.46, ,F8V           , ,6135,122.7,4.39,0.15,-0.06,0.15,1,1.103,0.0725
142,HD 001497           ,1541,                             ,0,19,12.7904,+,13,34,37.22,4.8032932,13.5770054,8.197, ,F8            , ,6023,120.46,4.25,0.15,0.16,0.15,1,1.151,0.09
